Product code;Description
3BA57266AA;DIGITAL VOICE BOARD 60 PORTS
3BA57425AA;UM DIGITAL VOICE BOARD 30 PORT
3BA27556AA;4755 STATION FOR SPEC. PROJECT
3BA57190AA;PROTECTION MODULE 1 PCM
3BA57191AA;SUPPORT FOR 2 PCM PROTECTION
3BA57192AA;SUPRA HEADSET MONAURAL
3BA57193AA;SUPRA HEADSET BINAURAL
3BA57194AA;HEADSET MONAURAL DIRECT. MICRO
3BA57195AA;HEADSET BINAURAL DIRECT. MICRO
3BA57196AA;4048 HEADSET MONAURAL DIRECT
3BA57197AA;4048 HEADSET BINAURAL DIRECT
3BA57209AA;HEADSET ADAPTOR
3BA57302AA;HEADSET MONAU.(DUOSET)+ BYWAY
3BA57346AA;STEREO HEADSET
3BA57207AA;MUSIC ON HOLD PACK
3BA27527AA;STANDARD LASER PRINTER 10 PPM
3BA27528AA;HIGH-END LASER PRINTER 30 PPM
3BA27529AA;HIGH-END INKJET COLOR PRINTER
3BA57126AA;STANDARD INKJET COLOR PRINTER
3BA57208AA;MATRIX PRINTER
3BA00268EN;PC PACK 4 WIN-95 EN
3BA00268FR;PC PACK 4 WIN-95 FR
3BA00268GE;PC PACK 4 WIN-95 GE
3BA00268SP;PC PACK 4 WIN-95 SP
3BA00270EN;SERVER PACK 1 WIN-NT4 W/S EN
3BA00270FR;SERVER PACK 1 WIN-NT4 W/S FR
3BA00270GE;SERVER PACK 1 WIN-NT4 W/S GE
3BA00270SP;SERVER PACK 1 WIN-NT4 W/S SP
3BA00283EN;SERVER PACK 1 WIN-NT4 SERVR EN
3BA00283FR;SERVER PACK 1 WIN-NT4 SERVR FR
3BA00283GE;SERVER PACK 1 WIN-NT4 SERVR GE
3BA00283SP;SERVER PACK 1 WIN-NT4 SERVR SP
3BA27530AA;4755 X-TERMINAL 17'' MONITOR
3BA27531AA;4755 X-TERMINAL 21'' MONITOR
3BA27534AA;4755 ROUTER S0/IP,
3BA27535AA;4755 UPS 230V,
3BA27549AA;4755 DISK MIRRORING,
3BA57220AA;PC PLATFORM 4,
3BA00231AC;AUDIO STATION PC4 WIN-95 FR,
3BA00232AC;AUDIO STATION PC4 WIN-95 EN,
3BH11281AB;HARD DISK 20GB PC PACK 4,
3BH11461AA;HD EXT 9,1GB PC MIGRATION KIT
3BA27562AA;4755 WIND/U LICENSE FOR 4200,
3BA57272AA;4755 X-TERMINAL EMULATION S/W,
3BA57249AA;HARD DISK 9,1GB SERVER PACK 1
3BA57251AA;HARD DISK 9,1GB SERVER PACK 3
3BA57252AA;SDRAM 128 MB SERVER PACK 1,
3BA57253AA;SDRAM 128MB SERVER PACK 1/3,
3BA57259AA;BACKUP CPU SERVER PACK 3,
3BA57260AA;BACKUP DRIVE SERVER PACK 1/3,
3BA57261AA;DAT TAPE SERVER PACK 1/3
3BA57262AA;UPS 1000 VA FOR 6 SERVERS
3BA57268AA;UPS 2400 VA FOR 9 SERVERS
3BA57269AA;SDRAM 256MB SERVER PACK 1/3
3BA57305AA;EXCHANGE FR
3BA57306AA;EXCHANGE EN
3BA57307AA;EXCHANGE GE
3BA57286AA;PC SWITCH BOX 1/4
3BA57323AA;IP HANDSET COMFORT KIT
3BA57287AA;PC SWITCH BOX 1/8
3BR02711AA;ETHERNET SWITCH 8 PORTS
3BR02712AA;ETHERNET SWITCH 24 PORTS
3BH11480AA;PACK OFFICE 2000 FR
3BH11481AA;PACK OFFICE 2000 EN
3BH11482AA;PACK OFFICE 2000 DE
3BH11483AA;PACK OFFICE 2000 SP
3BA57316AA;SDRAM 128MB PC PACK 4
3BA57334AA;SDRAM 256MB PC PACK 4
3BR05669RA;RSM LICENCE
3BA57270AA;V24 BOARD PCI 8 PORTS
3BH11406AA;EXTERNAL BACKUP STREAMER KIT
3BA27040AA;VOICE GUIDES MASTER CD-ROM
3BA20032AD;CPU5-2/CPU5-3 BIOS
3BA20045AA;IO2 BOOT
3BA23155AA;VPSTE CARD
3BA24000AA;INT2/INTOF/RT2 BOOT
3BA24003AA;RMA FIRMWARE
3BA24009AA;16 BITS BOOT
3BA24048AA;FLASH BOOT SPA3
3BA24051AA;FLASH BIOS VPS35
3BA24071AA;FLASH BIOS VPM35
3BA24095AA;CPU6 BIOS
3BA50088AA;EPROM FLASH BOOT IO1+CPL
3BA50101AA;EPROM FLASH BOOT SPB
3BA50183AA;EPROM BOOT AMD 8 BITS
3BA50184AA;EPROM BOOT AMD 16 BITS
3BA53010AC;PRG FLASH BOOT TOOL
3BA53109AA;CPU ACCESS CARD
3BA54011AJ;CPU3-2/CPU3-3 BIOS
4681464;A4200D CAB.8UA-4Z ISDN XD
4681662;A4200D CAB.4UA-8Z ISDN XC
4681471;A4200D CAB.8UA-8Z ISDN XD
4681488;A4200D CAB.8UA-16Z ISDN XD
4681495;A4200D CAB.16UA-16Z ISDN XD
4681518;A4200D CAB.8UA-4Z PSTN XD
4681501;A4200D CAB.4UA-8Z PSTN XD
4681532;A4200D CAB.8UA-8Z PSTN XD
4681549;A4200D CAB.8UA-16Z PSTN XD
4681556;A4200D CAB.16UA-16Z PSTN XD
3571612;DMC CARD -DATA SAVING MEMORY
4548682;RAA -ANALOG REMOTE ACCESS CARD
4512010;AUX - MOTHER BOARD FOR RAA-RGC
4531387;ITB2 BOARD -2 T0 ACCESS +CABLE
4531394;ITB4 BOARD -4 T0 ACCESS +CABLE
4521258;ATB2 BOARD - 2 TRUNKS HU
4521234;ATB4 BOARD- 4 TRUNKS HU
4539192;METERING CARD 12 KHZ (HU)
4523610;EBC CARD - EARTH BUTTON
4586851;BBZ4 BOARD - 4 ANAL.LINES
4537174;BBZ8 BOARD - 8 ANAL.LINES
4586868;BBZ12 BOARD - 12 ANAL.LINES
4531981;BBZ16 BOARD - 16 ANAL.LINES
4532087;BBM8-8 BOARD - 8A.- 8UA LINES
4684359;BBM4/8 BOARD - 4A.- 8UA LINES
4684366;BBM8/4 BOARD - 8A.- 4UA LINES
4531417;EBR4 BOARD - 4 UA EXPANSION
4531400;EBR8 BOARD - 8 UA EXPANSION
4521319;EBR12 BOARD - 12 UA EXPANSION
4521302;EBR16 BOARD - 16 UA EXPANSION
4532063;EBZ4 BOARD - 4 A.LINES EX.
4532049;EBZ8 BOARD - 8 A.LINES EX.
4532025;EBZ12 BOARD - 12 A.LINES EX.
4532001;EBZ16 BOARD - 16 A.LINES EX.
3571940;MMC-PC CONNECTING PLUGW 4200 (MMC-PC V.24 CABLE)
4717446;MIGRATION 4200D XD R3.X->R4.X
4521296;RGC - CARD PRE-DECROC. D-PSTN
4674596;A4610-II /D GREETINGS R2.X ENI
4705764;A4610-II /D GREETINGS R2.X LV
4705788;A4610-II /E GREETINGS R2.X LT
4719396;4610 80MN RECORDING TIME EXP.
4751112;CD ROM LANG. 4610II/IV
4682317;KIT DOC 4200D LT
4682294;KIT DOC 4200D EE
4682300;KIT DOC 4200D LV
4683659;KIT DOC 4200D RUSSIA
4755806;CD DOCUMENT. OFFICE TERMINALS
4680092;RAA -ANALOG REMOTE ACCESS CARD
4531462;ICB INTERCONNCTION BOARD
4536313;IDB 32 INERTCONN.DISTRIB.BOARD
4536320;IDB 48 INERTCONN.DISTRIB.BOARD
4719013;SMB-1 BOARD 4M FLASH
4719006;SMB-DL-1 BOARD 8M FLASH
4531479;PS4 BOARD POWER SUPPLY
4682522;A4200E CAB. S ISDN 0+0 R32X XD
4682553;A4200E CAB. M ISDN 0+0 R32X XD
4682584;A4200E CAB. L ISDN 0+0 R32X XD
4681631;A4200E CAB. S PSTN 0+0 R32X XD
4681648;A4200E CAB. M PSTN 0+0 R32X XD
4681600;A4200E CAB. L PSTN 0+0 R32X XD
4511006;LICENCE ARS
4511037;LICENCE NETW
3576549;BATTERIE V0 12V 10AH
3974437;BATTERIE 12V38AH
3443209;EXTERNAL BATTERY CABLE
3571247;COFFRET BATTERIE (BATTERY BOX)
3578246;DTMF CARD EXT.RECEIVER
3576563;RA2E CARD - 2X19200BDS ECMA
3302940;RAME CARD -1MODEM+1ECMA
4510887;M768-DS1 CARD 768k EXT.MEMORY
4600779;T02 BOARD -2 T0 ACCESS
4544035;S0T04 BOARD -4 S0-T0 ACCESS
4544028;S0T08 BOARD -8 S0-T0 ACCESS
4514182;T2 BOARD -T2 ACCESS 75 OHMS
4510733;T2 BOARD -T2 ACCESS 120 OHMS
3290742;T0CT CARD  - 1 T0 CUT THROUGH
3570349;SOPS4 - 4S0 FEEDING CARD
3464075;TLC2 BOARD -2 TRUNKS LU-IE
3464068;TLC4 BOARD -4 TRUNKS LU-IE
3472926;MPD CARD - 12KHZ METERING HU
3253655;TLGB CARD - EARTH BUTTON
3253662;TCT4 CARD - 4 PSTN CUT THROUGH
4600762;DLT02 BOARD -
4600755;DLT04 BOARD -
4600748;DLT08 BOARD -
4510771;DLT2 BOARD - 120 OHMS
4682430;DLT2 BOARD - T2 ACCESS 75 OHMS
3570318;ATL BOARD - ANALOG TIE LINE
4537068;DLC4-1 BOARD - 4 UA LINES
4537051;DLC8-1 BOARD - 8 UA LINES
4537044;DLC16-1 BOARD - 16 UA LINES
3464129;SLC4 BOARD -4 ANALOG LINES GR
3464112;SLC8 BOARD -8 ANALOG LINES GR
3571025;MMC-PC CONNECTING PLUGW (MMC-PC CABLE)
3579274;MMC-PC CONNECTING PLUGW 4200E (V.24 ACCESS KIT FOR SYSTEM AND IVPS MMC)
3571452;4713 CABLE TAX-PC
4719303;MIGRATION 4200E EE3 - R32X
4717927;MIGRATION 4200E EXD31 - R32X
4729289;KIT MIGR. AM FOR R4 (SW+MEB1M)
4755998;KIT 1X SW. TONA/MUSICATEL EU2
4608751;M32-1 CARD 32 S.RECORD. MOH
4608720;MM32P-1CARD 64 S.MESS. + MOH
4674589;A4610-II /E GREETINGS R2.X ENI
4705757;A4610-II /E GREETINGS R2.X LT
4705771;A4610-II /E GREETINGS R2.X LI
4719396;4610 80MN RECORDING TIME EXP.
4572304;MIGRATION 4610 II TO R2.X
3577416;4610 PALEX-MODE EXPERT R2.X
4706709;A4610-IV /E GREETINGS R3.X ENI
4706662;A4610-IV /E GREETINGS R3.X LT
4706679;A4610-IV /E GREETINGS R3.X LI
4724796;MIGRATION 4610 IV TO R3.1.05
4751112;CD ROM LANG. 4610II/IV
4537075;CKIBS CARTE HORLOGE DECT
4501731;4070IA RBS REMOTE FEEDING IN
4508570;4070EA RBS REMOTE FEEDING OUT
4534067;4070IA-EX RBS ANTI-EXPLO. IN
4517800;SPARE PACK CONNECTOR FEM 4W
4531127;DECM4 BOARD - 1 RBS CONNECTING
4514885;DMOD-DL CARD - 1 RBS EXPANSION
3980865;AEMD CARD EXT.8 SPEECH CHAN.
4728923;AM BOARD ETHERNET CSTA R4
4511716;LICENCE CSTA 5 NUMEROS
4511723;LICENCE CSTA 10 NUMEROS
4511730;LICENCE CSTA 15 NUMEROS
4511747;LICENCE CSTA 20 NUMEROS
4511754;LICENCE CSTA >20 NUMEROS
4682201;KIT DOC 4200E LT
4682188;KIT DOC 4200E EE
4682195;KIT DOC 4200E LV
4683666;KIT DOC 4200E RU
4717934;RECEP.SET GUIDE HOTEL R32X LT
4717941;RECEP.SET GUIDE HOTEL R32X EE
4717958;RECEP.SET GUIDE HOTEL R32X LV
4717965;RECEP.SET GUIDE HOTEL R32X CC
4755806;CD DOCUMENT. OFFICE TERMINALS
3570752;BP6X BOARD BACK PANEL 6 POS.
3570769;BP10X BOARD BACK PANEL 10 POS
3570776;BP20X BOARD BACK PANEL 20 POS
4608638;AC-1 CONTROLLER BOARD
4688975;AC-2 CONTROLLER BOARD
4510788;CM-1 BOARD CONTROL MODUL
4510788;CM-1 BOARD CONTROL MODUL
4718269;M1M-DL3 PROG.CARD XD
3977155;PS16 BOARD
3AC36067AB;4070IO IBS REMOTE FEEDING IN
3AC07622AA;4070IO IBS WITH PS 220V EU
3AC36081AA;4070EO IBS REMOTE FEEDING OUT
3AK27097AA  ;IBS LOCAL PS 220V EU
4682102;4074GB ITU SET + DOC LJ-ST-LT
4682126;4074GI ITU SET + DOC LJ-ST-LT
4682133;4074EX ITU SET + DOC LJ-ST-LT
4537587;4074GB EX ITU DECT HANDSET
3576365;4071BA DECT BASIC PARKING UNIT
4540006;4071BC BASIC HANDSFREE CHARGER
3576389;4071DA DECT DUAL PARKING UNIT
4507573;4074GB BELT CLIP (X5)
4051274;SUPRA HEADSET MONAURAL DECT DI
4704019;FOAM EAR CUSHIONS SUPRA (X10)
4695782;4074H MICROHEADSET
4703999;EXPRESS HEADSET DECT W.EAR HOO
4704002;FOAM EAR CUSHIONS EXPRESS
4703982;PROFILE HEADSET BINAURAL MICRO
4051205;LEATHER EAR CUSHIONS PROFILE (
3576419;4074 NIMH BATTERY 1200 MAH
4112739;4074GB EX BATTERY NIC-CD
4535842;4074 STANDARD BATTERY HOLDER
3954170;4074 VIBRATOR
4502110;4074 CHARGER WALL MOUNTING KIT
4502080;4074 POOL CHARGER KIT
3AK28050LJ;4004 SET ANTHR. BALTICS
3AK28048LJ;4010 SET ANTHR. BALTICS
3AK28046LJ;4020 SET GRAPH LJ
3AK28044LJ;4035 SET GRAPH LJ
3AK27106AD;4090M MODULE 20 KEYS GRAPH
3AK27107AD;4090L MODULE 40 KEYS GRAPH
3AK27120AB;4020/4035 WALL KIT
3BA57194AA;HEADSET MONAURAL DIRECT. MICRO
3BA57195AA;HEADSET BINAURAL DIRECT. MICRO
3BA57209AA;HEADSET ADAPTOR
3AK27103AD;4091 PLUGW CTI GRAPH
3AK27105AD;4093 PLUGW V24/CTI GRAPH
3AK27108AD;4094 PLUGW CTI/S0 GRAPH
3AK27102AD;4095 PLUGW ANALOG GRAPH
4728954;IP-LAN4 BOARD - 4 CHANNELS
4728947;IP-LAN8 BOARD - 8 CHANNELS
4728930;IP-LAN16 BOARD - 16 CHANNELS
3EH76034AA;BLIND SLOT STIFFENER
3EH08112GA;OMNIPCXOFFICE S ISDN-XS
3EH08113GA;OMNIPCXOFFICE S ISDN-UA
3EH08114GA;OMNIPCXOFFICE S ISDN-SL
3EH08115GA;OMNIPCXOFFICE S-XS
3EH08116GA;OMNIPCXOFFICE S-UA
3EH08117GA;OMNIPCXOFFICE S-SL
3EH08097GA;OMNIPCXOFFICE M 230V
3EH08083GA;OMNIPCXOFFICE L 230V
3EH08084GA;OMNIPCXOFFICE XL 230V
3EH08109GA;OMNIPCXOFFICE E-S ISDN-XS
3EH08110GA;OMNIPCXOFFICE E-S ISDN-UA
3EH08111GA;OMNIPCXOFFICE E-S ISDN-SL
3EH08100GA;OMNIPCXOFFICE E-M 230V
3EH08085GA;OMNIPCXOFFICE E-L 230V
3EH08086GA;OMNIPCXOFFICE E-XL 230V
3EH07339GB;OMNIPCXOFFICE E-M PROMO 230V
3EH07340GB;OMNIPCXOFFICE E-L PROMO 230V
3EH73006AD;ISDN ACCESS T0 BRA2 BOARD
3EH73006AC;ISDN ACCESS T0 BRA4 BOARD
3EH73006AB;ISDN ACCESS T0 BRA8 BOARD
3EH76037AA;ISDN ACCESS E1 PRA-T2 BOARD
3EH75004AA;T2 BALUN KIT RJ45/COAX
3EH76037AB;PRIVATE ACCESS E1 DLT2 BOARD
3EH73025BD;ANALOG TRUNK ACCESS ATA2 BOARD
3EH73025AD;ANALOG TRUNK ACCESS ATA4 BOARD
3BC35170AL;METERING CARD 16 KHZ (PL)
3EH73015AB;MIXED - MIX4/8/4 BOARD
3EH73015AC;MIXED - MIX4/4/8 BOARD
3EH73015AD;MIXED - MIX2/4/4 BOARD
3EH73015AE;MIXED - MIX0/8/4 BOARD
3EH73015AF;MIXED - MIX0/4/8 BOARD
3EH73015AG;MIXED - MIX0/4/4 BOARD
3EH73005AD;DIGITAL INTERFACES UAI4 BOARD
3EH73005AC;DIGITAL INTERFACES UAI8 BOARD
3EH73005AB;DIGITAL INTERFACES UAI16 BOARD
3EH73003AD;ANALOG INTERFACES SLI4 BOARD
3EH73003AC;ANALOG INTERFACES SLI8 BOARD
3EH73003AB;ANALOG INTERFACES SLI16 BOARD
3EH73020AB;ETHERN. LANSWITCH LANX8 BOARD
3EH73021AB;ETHERN. LANSWITCH LANX16 BOARD
3EH73013AB;SLANX4 CARD
3EH73026AE;INTERNET COPROCESSING BOARD
3EH73029AB;WAN CARD
3EH73004AC;XMEM64 CARD
3EH08090AA;VOICE HARD DISK
3EH08090AB;DATA HARD DISK
3EH73009AB;AFU CARD A LAW
3EH08101AA;EXPANSION MODULE RACK 1
3EH08102AA;EXPANSION MODULE RACK 2 230V
3EH08087AA;EXPANSION MODULE RACK 3 230V
3EH76090AB;POWER BACK-UP 650VA
3EH76090AA;POWER BACK-UP 300VA
3EH75012AA;POWER BACK-UP RACK KIT
3EH76090AC;POWER BACK-UP 1200VA
3EH75007AA;MOUNTING KIT RACK 1
3EH75001AB;MOUNTING KIT RACK 3
3EH75010AA;MOUNTING KIT RACK 2
3EH73026AF;VOIP COPROCESSING BOARD
3EH73023AD;VOIP4/IDE CARD
3EH73023AC;VOIP8 CARD
3EH73023AB;VOIP16 CARD
3EH08088AA;MODULE LINK KIT 1
3EH08089AA;MODULE LINK KIT 2
3AC36070AA;4097 PLUGW CBL-DECT GRAPH EU
3EU56003AA;4098FRE IP PLUGW GRAPH
3AK27124AB;4099 MULTI REFLEXES HUB GRAPH
3AK17040AB;CABLE V24 DCE DB9M/DB9F-3M(X5)
3AK21492AA;CPU LANSWITCH CABLE
3AK27048AB;LINE CORD RJ11 6/4W-5M (X10)
3AK27048BC;LINE CORD RJ45 8/4W-5M (X10)
3AK27049AB;LINE CORD RJ45/RJ45 8W-3M(X10)
3AK27111AB;HANDSET BLACK CORD-0.6M (X10)
3AK27112BA;LABEL SHEET BLANK 4020/35(X50)
3AK27112DB;LABEL SHEET GRAPH 4035 (X50)
3AK27113DB;LABEL SHEET GRAPH 4020 (X50)
3AK27114BA;LABEL SHEET BLANK 4010 (X50)
3AK27114DB;LABEL SHEET GRAPH 4010 (X50)
3AK27115BA;LABEL SHEET BLANK 4004 (X50)
3AK27115BB;LABEL SHEET GRAPH 4004 (X50)
3AK27116BA;LABEL SHEET BLANK 4090 (X50)
3AK27116BB;LABEL SHEET GRAPH 4090 (X50)
3AK27121AB;HANDSET SOFT-GRIP GRAPH
3AK27127AA;4098FRE AC/DC ADAPTOR EU (X4)
3AK27128AA;4098FRE AC/DC ADAPTOR EU (X12)
3AK27120AB;4020/4035 WALL KIT
3AC07622AA;4070IO IBS WITH PS 220V EU
3AC36067AB;4070IO IBS REMOTE FEEDING IN
3AC36081AA;4070EO IBS REMOTE FEEDING OUT
3BN00001YY;MOBILE 100 SET EU
3BN00002YY;MOBILE 200 SET EU
3BN00003YY;MOBILE 200EX SET EU
3BD52205AA;ANTENNA 8DB RIGHT CIRC. POLAR.
3BD52206AA;ANTENNA 8DB LEFT CIRC. POLAR.
3BD52208AA;ANTENNA 2DB OMNIDIRECTIONAL,
3BD52211AA;CONNECTOR SMA-M (D=3MM),
3BD52212AA;ANTENNA 7.5DB OMNIDIRECTIONAL,
3BD52213AA;INDOOR SUSPENSION,
3BD52214AA;IN/OUT CORNER WALL SUPPORT,
3BD52215AA;IN/OUT REMOTE WALL MOUNTING,
3BD52217AA;CORD SMA-M/M (D=5MM,L=1M)
3BD52218AA;2 CHANNELS SEPARATOR,
3BD52219AA;3 CHANNELS SEPARATOR,
3BD52220AA;LIGHTING ARRESTER SMA F/M,
3BD52221AA;ADAPTOR SMA F/F,
3BD52224AA;MAST FIXING KIT (D=40 TO 90MM),
3BD52225AA;COAXIAL CABLE (D=3MM,L=100M)
3BD52276AA;MOBILE 100/200 HEADSET BINAUR.,
3BD52277AA;MOBILE 100/200 HEADSET EXPRESS,
3BD52278AA;MOBILE 100/200 POUCH CITY,
3BD52280AA;MOBILE 100/200 ANTI-NOISE HEAD
3BN67136AA;MOBILE 100/200 POOL/WALLM.(X5)
3BN67149AA;MOBILE 200EX LI-ION BATTERY
3BD52279AA;MOBILE 100/200 POUCH INDUS.
3BD52290AA;MOBILE 200EX CARRYING CASE
3BN67135AA;MOBILE 100/200 BELT CLIP (X5)
3BN67137AA;MOBILE 200 LI-ION BATTERY
3BN67138AA;MOBILE 100 NIMH BATTERY
3BN67113AB;MOBILE 100/200 VOICE CHARG EU
3BN67115AB;MOBILE 100/200 DUAL CHARG EU
3BN67116AB;MOBILE 100/200 BASIC CHARG EU
3BN67126AB;MOBILE 100/200 CORDED CHARG EU
3AK27097AA;IBS LOCAL PS 220V EU
3BH11573AA;4715 METERING ON PC 32 USERS
3BH11574AA;4715 METERING ON PC 64 USERS
3BH11575AA;4715 METERING ON PC 128 USERS
3BH11576AA;4715 METERING ON PC 256 USERS,
3EH34002AA;CD-ROM TAPI SERVER 2.1,
3BH11569AA;4715/40 UPGRADE 128/256 EXT,
3BH11537CA;4715 ACCOUNTING BAS UPDATE 4.4,
3BH11359AA;4715/40 UPGRADE 64-128 EXT,
3BH11358AA;4715/40 UPGRADE 32-64 EXT,
3EH34000AA;CD-ROM PIMPHONY-MANAGEM. TOOLS,
3BA57194AA;HEADSET MONAURAL DIRECT. MICRO,
3BA57195AA;HEADSET BINAURAL DIRECT. MICRO,
3BA57209AA;HEADSET ADAPTOR,
3BA57302AA;HEADSET MONAU.(DUOSET)+ BYWAY,
3BA57323AA;IP HANDSET COMFORT KIT,
3EH75002AA;12V/1,2AH BATTERY KIT
3EH75005AC;COOLING KIT RACK 2/3,
3EH75008AA;COOLING KIT RACK 1,
3EH04013AA;CPU STANDARD + SW TOOLS,
3EH04014AA;CPUE ENHANCED 64 + SW TOOLS
3EH04015AA;CPUE 128 MB BOARD + SW TOOLS
3EH73026AD;CONTROLLER MEX BOARD
3EH08119AA;BLIND SLOT STIFFENERS KIT(X5)
3EH09010CC;MEMENTO OMNIPCXOFFICE RU (X50)
3EH09010DJ;MEMENTO OMNIPCXOFFICE EE (X50)
3EH09010DN;MEMENTO OMNIPCXOFFICE LV (X50)
3EH09010DP;MEMENTO OMNIPCXOFFICE LT (X50)
3EH09010DY;MEMENTO OMNIPCXOFFICE SI (X50)
3EH09010EJ;MEMENTO OMNIPCXOFFICE FR (X50)
3EH09010EN;MEMENTO OMNIPCXOFFICE EN (X50)
3EH09011AA;CD-ROM USER GUIDE MANUAL
